id,comment_text,label
1,some big deletions another in a string of idiotic generalizations. gad i'm surprised i got this far down in the post. i guess some just like seeing their names up on a crt. like me phil trodwell,0
2,you should wear your nicest boxer shorts and bring plenty of spf sunscreen. i'll grab my bathing suit towerl and some veggie hotdogs and we can have bonfire cookout does that sound good enough to you dean every a.a poster is invited,0
3,you can tell your friend from me that i was in a publisher's warehouse one time and saw thousands of copies of the joy of cooking and every one of them was syllableperfect. i have since sold all i own and become a follower of the joy of cooking. the incident i mentioned convinced me once and for all that the joy of cooking is inspired by god and the one true path to his glory.,0
4,false dichotomy. you claimed the killing were not religiously motivated and i'm saying that's wrong. i'm not saying that each and every killing is religiously motivate as i spelled out in detail. which killings do you say are religously motivated for example i would claim that the recent assassination of four catholic construction workers who had no connection with the ira was probably religously motivated. at the time of writing i think that someone who claims the current violence is motivated by religion is reaching. what would you call is when someone writes the killings in n.i are not religously motivated i'd say it was motivated by a primitive notion of revenge and by misguided patriotism. otherwise i'd have to wonder how come mainland catholics are not killed by mainland protestants and southern catholics are not killed by southern protestants and so on. take away all plausible causes bar religion and the violence diminishes markedly. gee why is that now it's possible to argue that religion in the past is a major contributing factor to the violence in the present but i don't know of any evidence that this is so and i'm not enough of a historian to debate it. given that the avowed aim of the ira is to take northern ireland into a country that has a particular church written into its constitution and which has restriction on civil rights dictated by that church i fail to see why the word past is appropriate. the country also has a different official language written in its constitution and vice versa maybe they're motivated by a love of irish poetry. your argument is fallacious jon. for what it's worth i agree with all that you say about ireland above and more.,0
5,i recall a discussion i had heard years ago. it went something like this the problem with omnipotence at least as i perceive it as personified by the christian god ideal is that it is potentially contradictory. if a manifestation such as god is truly infinite in power can god place limits upon itself . . some stuff i can't recall. then some other questions i think i recall correctly can god unmake itself can god make itself assuming it doesn't yet exist has god has always existed or is it necessary for an observer to bind all of gods potential quantum states into reality was god nothing more than a primordial force of nature that existed during the earliest stages of universal inflationary creation is god a vacuum fluctuation given a great enough energy density could we recreate god would that make us god and god something else . . some more stuff i don't recall concerning creating god. followed by is god selfaware is it necessary that god be selfaware is god a living entity is it necessay that god be a living entity is god unchanging or does it evolve . . any comments post them so that others might benefit from the open inquiry and resulting discussion.,0
6,...details of us built chemical plant at al alteer near baghdad... however the plant's intended use was to aid the iraqi infrastructure. it is not an example of selling a weapon. may sound nitpicking but are we going to refuse to sell valuable parts that build the infrastructure because of dual use technology i am contending that in this case and in the case of the sale of pesticides by uk companies that they knew full well that it was to be used for the production of chemical weapons even if that was not its officially stated purpose. i personally don't think that letting iran conquer iraq would have been a good thing. for that matter neither do i for the reasons you state. it is the hypocrisy and claims the us did not help iraq that make me angry plus the fact that the usa seems to believe it has the right to interfere where is sees fit i.e. has an interest rather than a duty to intervene where it is required. this is demonstrated by the failure of the us to do anything about east timor and the region is becoming destabilised. the usa might have done something approaching the right thing given my reservations about the uncessary number of civillian casualites but for wholly the wrong reasons and after having a hand in creating the situation. that in no way would affect the us later military action against iraq. i did not suggest it would and it would be ridiculous to assert otherwise. i was simply indicating the usa has previously aided iraq. intel on manufacturing techniques or something of that nature no apparently data orginally from satellites although i doubt that iraq would have been given the raw data concerning troop concentrations.,0
7,i can and do take religious writings as a metaphor for life. i do this with all sorts of fiction from beowolf to deep space nine. the idea is to not limit yourself to one book screen out the good stuff from what you read and to remember that it is all just a story. you sound buddist to me,0
8,gregg you haven't provided even a title of an article to support your contention. you also have no reason to believe it is an antiislamic slander job apart from your own prejudices. why yes. what's a mere report in the times stating that bcci followed islamic banking rules gregg knows islam is good and he knows bcci were bad therefore bcci cannot have been islamic. anyone who says otherwise is obviously spreading slanderous propaganda. i see. if someone wants to provide references to articles you agree with you will also respond with references to articles you agree with mmm yes that would be a very intellectually stimulating debate. doubtless that's how you spend your time in soc.culture.islam. i've got a special place for you in my... ...kill file. right next to bobby. want to join him the more you post the more i become convinced that it is simply a waste of time to try and reason with moslems. is that what you are hoping to achieve,0
9,imo the influence of stalin or for that matter ayn rand invalidates your assumption that theism is the factor to be considered. gullibility blind obedience to authority lack of scepticism and so on are all more reliable indicators. and the really dangerous people the sources of fanaticism are often none of these things. they are cynical manipulators of the gullible who know precisely what they are doing. now some brands of theism and more precisely some theists do tend to fanaticism i grant you. to tar all theists with this brush is bigotry not a reasoned argument and it reads to me like a warmup for censorship and restriction of religious freedom. ever read animal farm well there is a glaring paradox here an argument that reason is useful based on reason would be circular and argument not based on reason would be irrational. which is it the first part of the second statement contains no information because you don't say what the beliefs are. if the beliefs are strong theism andor strong atheism then your statement is not in general true. the second part of your sentence is patently false counterexample an axiomatic datum does not lend itself to rational analysis but is assumed to contain reliable information regardless of what process is used to obtain it. i can't agree with this until you are specific which theism to say that all theism is necessarily antirational requires a proof which i suspect you do not have. i don't understand this. can you formalise your argument,0
10,...stuff deleted... thank you. i thought i was in the twilight zone for a moment. it still amazes me that many people with science backgrounds still confuse the models and observables with what even they would call the real world. jim halat,0
